dataset,index,raw_label,y_true,pred_label,outcome,probability,target_confidence,mc_std,global_focus_count,local_focus_count,total_focus_count,global_central_focus_count,local_central_focus_count,global_central_focus_fraction,local_central_focus_fraction,global_focus_density,local_focus_density,global_attention_position_variance,local_attention_position_variance,mean_attention_position_variance,global_attention_entropy,local_attention_entropy,mean_attention_entropy,global_central_importance_ratio,local_central_importance_ratio,mean_central_importance_ratio,global_peak_distance_to_center,local_peak_distance_to_center,is_error,central_norm,variance_norm,entropy_norm,focus_count_norm,mc_std_norm,confidence_inv_norm,attention_quality_score,attention_risk_score
kepler,0,no-PC,0,1,FP,0.836514949798584,0.836514949798584,0.0226418748497962,2,3,5,1,2,0.5,0.6666666666666666,0.0819590204897551,0.0547263681592039,0.0778611300486614,0.0201483151131895,0.0490047225809254,0.820704938324391,0.8156202434610617,0.8181625908927264,0.5827161925491666,0.5699886622179797,0.5763524273835732,30.0,0.0,1,0.6885762673625515,0.242159863057396,0.46375899162748596,0.3333333333333333,0.3220856249303128,0.3314770995717532,0.6623310198360841,0.334039774192955
kepler,1,no-PC,0,0,TN,5.809582717120065e-07,0.9999994190417284,2.30806961099006e-07,3,2,5,2,0,0.6666666666666666,0.0,0.0689655172413793,0.0945273631840796,0.0614567643832333,0.0762012367000514,0.0688290005416423,0.8442404902421854,0.9125645570924928,0.8784025236673392,0.2494452216921392,0.1055197131351877,0.1774824674136635,505.0,41.0,0,0.20494504442198946,0.39556055541078244,0.6981216712149928,0.3333333333333333,3.2832795337661105e-06,1.177932554721417e-06,0.44448237111572025,0.3703458294582012
kepler,2,no-PC,0,0,TN,0.0003893825632985,0.9996106174367014,0.0001614334469195,3,1,4,0,1,0.0,1.0,0.0734632683658171,0.0298507462686567,0.0919000583059595,0.0223283582183664,0.0571142082621629,0.9281781331528218,0.7868832827057186,0.8575307079292702,0.1064257997443522,0.6988364227959184,0.4026311112701353,245.0,1.0,0,0.4779385633621698,0.30491123895097333,0.6169201419481471,0.2222222222222222,0.0022964261122654446,0.0007894997282443016,0.5834712400602068,0.2782001609332804
kepler,3,no-PC,0,0,TN,2.6972362320520915e-05,0.9999730276376796,8.380326107726432e-06,2,4,6,2,0,1.0,0.0,0.0824587706146926,0.0945273631840796,0.028421024766062,0.0721795757671814,0.0503003002666217,0.8213262123194187,0.917548361841949,0.8694372870806839,0.6587947475245635,0.0891839593663817,0.3739893534454725,24.0,35.0,0,0.4432103317225797,0.2521850712580292,0.6632425341906241,0.4444444444444444,0.00011921197292315966,5.468830586988115e-05,0.5208345704573705,0.3194726030748852
kepler,4,PC,1,1,TP,0.7064008116722107,0.7064008116722107,0.0643072798848152,1,5,6,1,5,1.0,1.0,0.0209895052473763,0.1044776119402985,0.0337030351659568,0.0168539253303398,0.0252784802481483,0.7593681510692731,0.7910734328007768,0.7752207919350249,0.825776682235136,0.6306768454086549,0.7282267638218954,93.0,3.0,0,0.8727244320187548,0.05856568585687548,0.2966944779984765,0.4444444444444444,0.9147851300598313,0.5952923968498349,0.7682549559297396,0.40617628386511795
kepler,5,no-PC,0,0,TN,0.0295607857406139,0.970439214259386,0.0036330844741314,2,5,7,1,2,0.5,0.4,0.0534732633683158,0.0845771144278607,0.0195492831563941,0.0751598951248222,0.0473545891406081,0.8117791516777842,0.9450646288849678,0.8784218902813761,0.5156935280634579,0.2460625022017793,0.3808780151326186,507.0,19.0,0,0.45156285813602426,0.22939109474604838,0.6981970167765027,0.5555555555555556,0.051681421747888444,0.059936511052775844,0.4921047977644794,0.35719979029045773
kepler,6,no-PC,0,0,TN,5.951051662123064e-06,0.999994048948338,5.816452357976232e-06,2,3,5,0,3,0.0,1.0,0.0589705147426286,0.099502487562189,0.1615845108481173,0.0527947328301878,0.1071896218391525,0.8519430892369326,0.8972872798724753,0.8746151845547039,0.1343869974215135,0.3280498471106391,0.2312184222660763,978.0,13.0,0,0.2701000778146064,0.6923958740945063,0.6833870773656808,0.3333333333333333,8.274030772719419e-05,1.2066163492595158e-05,0.3902459482552715,0.406518502241689
kepler,7,no-PC,0,0,TN,1.65825525755281e-07,0.9999998341744742,8.18800032220679e-08,3,4,7,0,1,0.0,0.25,0.0579710144927536,0.0895522388059701,0.1347330281724974,0.0994433804665898,0.1170882043195436,0.7793772319709795,0.9210246957017476,0.8502009638363636,0.005444236778824,0.1386889166900956,0.0720665767344598,418.0,77.0,0,0.07712790790361658,0.7689913197807503,0.5884038673246095,0.5555555555555556,1.1647609651858346e-06,3.362225735295122e-07,0.29104429131067533,0.4726373892901396
kepler,8,no-PC,0,0,TN,3.054682383663021e-05,0.9999694531761634,9.657102964411024e-06,2,4,6,1,0,0.5,0.0,0.0729635182408795,0.099502487562189,0.0775794343565192,0.0872394200228005,0.0824094271896599,0.8468262024473313,0.9416793413045624,0.8942527718759469,0.5159892629985418,0.1014727072702544,0.3087309851343981,56.0,52.0,0,0.3640843316704036,0.5006461910333442,0.7597868569348195,0.4444444444444444,0.00013737440313310841,6.193577060422723e-05,0.4148017098144489,0.39016541181932357
kepler,9,no-PC,0,0,TN,1.962668569333026e-11,0.9999999999803734,1.9458160777086064e-11,5,3,8,2,0,0.4,0.0,0.0889555222388805,0.099502487562189,0.0457875978279723,0.084494095286867,0.0651408465574197,0.930838837504929,0.9416651116825476,0.9362519745937384,0.2459437130055287,0.1072101245679405,0.1765769187867346,266.0,48.0,0,0.20384706354143678,0.3670215399769417,0.9231842120797563,0.6666666666666666,2.767964448696938e-10,3.979433953858857e-11,0.311743661204518,0.4588375592497531
kepler,10,no-PC,0,0,TN,0.0003584807273,0.9996415192727,0.0001095361658371,3,3,6,2,0,0.6666666666666666,0.0,0.0509745127436281,0.099502487562189,0.0180370993276535,0.0841668735828437,0.0511019864552486,0.7843128793425193,0.9053775851200676,0.8448452322312934,0.6953241141996342,0.1393467066614128,0.4173354104305235,107.0,41.0,0,0.49576757757512013,0.25838853635417064,0.5675674627620081,0.4444444444444444,0.0015581759311078822,0.0007268441462469775,0.5563417835036242,0.2961529810104763
kepler,11,no-PC,0,0,TN,0.0001161933541879,0.999883806645812,3.747148366528563e-05,6,3,9,3,0,0.5,0.0,0.096951524237881,0.0696517412935323,0.0971078307364648,0.0918487524673417,0.0944782916019032,0.8255580791104068,0.948117345578368,0.8868377123443874,0.393768546242728,0.1035521428203226,0.2486603445315253,39.0,50.0,0,0.29124846962709,0.59403532532746,0.7309386637002888,0.7777777777777778,0.0005330400558019495,0.0002355899575422934,0.29712417570539085,0.46871198786529683
kepler,12,no-PC,0,0,TN,5.148625632500625e-07,0.9999994851374367,2.4782411855994724e-07,2,3,5,0,0,0.0,0.0,0.0549725137431284,0.0945273631840796,0.0346949411756125,0.0765871009710346,0.0556410210733235,0.8426413421003601,0.927685915568976,0.885163628834668,0.1516216630316623,0.1085891257086244,0.1301053943701433,347.0,43.0,0,0.14750017748563118,0.2935116845671056,0.7244256634507862,0.3333333333333333,3.5253523228661757e-06,1.0439189940239002e-06,0.4490573740336015,0.3672958455228185
kepler,13,no-PC,0,0,TN,0.0001287194609176,0.9998712805390824,5.3940941143082455e-05,1,4,5,1,0,1.0,0.0,0.0179910044977511,0.099502487562189,0.0370044315490001,0.0834136367478557,0.0602090341484279,0.7545254481343984,0.9411752962681964,0.8478503722012974,0.6754744381271576,0.1252594717102524,0.400366954918705,13.0,37.0,0,0.4751932658590601,0.3288590687083536,0.5792589209603559,0.3333333333333333,0.0007673216927772175,0.00026098749402988716,0.5584354857142544,0.2945477277216316
kepler,14,no-PC,0,0,TN,0.0014525612350553,0.9985474387649448,0.0003618270857259,3,5,8,0,0,0.0,0.0,0.0544727636181909,0.099502487562189,0.0413271357780179,0.0771000856605125,0.0592136107192652,0.8429311021108246,0.9473544650047402,0.8951427835577823,0.1704092263985017,0.1126253003691942,0.1415172633838479,227.0,81.0,0,0.16133710861865466,0.3211564606476251,0.7632494358755956,0.6666666666666666,0.00514706948059056,0.00294516706300217,0.3525661363571918,0.43297128185247086
kepler,15,PC,1,1,TP,0.9525217413902284,0.9525217413902284,0.0045929867774248,2,2,4,0,2,0.0,1.0,0.0309845077461269,0.0348258706467661,0.0587379483787182,0.0363286797835151,0.0475333140811166,0.7545197901275201,0.8549457254576021,0.8047327577925611,0.1641968981064669,0.5863732862389477,0.3752850921727073,702.0,1.0,0,0.4447814194658413,0.2307740722077824,0.411510399592301,0.2222222222222222,0.06533624208760445,0.09626541042924303,0.6450686813608839,0.26355448784555197
kepler,16,no-PC,0,0,TN,1.2832832574360964e-08,0.9999999871671674,7.75478437020638e-09,6,2,8,1,0,0.1666666666666666,0.0,0.1004497751124437,0.099502487562189,0.0867177491665573,0.0728736489243789,0.0797956990454681,0.8735879055121342,0.92796981414212,0.900778859827127,0.2333045227016202,0.0928160820388587,0.1630603023702395,769.0,28.0,0,0.1874581188136334,0.48042110602711807,0.7851765177298411,0.6666666666666666,1.1031350465617259e-07,2.60194440763749e-08,0.31379845709750187,0.4574677179904901
kepler,17,no-PC,0,0,TN,0.0014902934199199,0.99850970658008,0.0003829010238405,3,5,8,1,1,0.3333333333333333,0.2,0.089455272363818,0.0895522388059701,0.1252383688077204,0.0708693142929383,0.0980538415503293,0.8005723303123845,0.9096119390573428,0.8550921346848637,0.3148347886375654,0.2634161408397064,0.2891254647386359,981.0,86.0,0,0.3403125695499774,0.6217030082927387,0.6074329042703127,0.6666666666666666,0.00544685086231853,0.0030216716435988713,0.3611274975800649,0.42732642203094295
kepler,18,no-PC,0,0,TN,0.0001528072316432,0.9998471927683568,4.3602507503237575e-05,2,4,6,1,1,0.5,0.25,0.0344827586206896,0.0895522388059701,0.109407589762497,0.0682873761486163,0.0888474829555567,0.824155370427798,0.9202789439839478,0.8722171572058729,0.3239016319386695,0.1706843247818296,0.2472929783602495,985.0,36.0,0,0.2895905333571549,0.5504640060304542,0.674057582970345,0.4444444444444444,0.0006202552116761624,0.00030982709352497454,0.4051561249779778,0.3967175970655483
kepler,19,no-PC,0,0,TN,2.135548404780252e-09,0.9999999978644516,2.3953874439541782e-09,2,1,3,0,1,0.0,1.0,0.048975512243878,0.0248756218905472,0.0623358358574026,0.0222841448977234,0.042309990377563,0.7914563501015328,0.7685722045274146,0.7800142773144737,0.1170739896558412,0.705894604558897,0.4114842971073691,562.0,1.0,0,0.48867308218555894,0.19035588022627728,0.3153434708898597,0.1111111111111111,3.407491047203967e-08,4.329970173661243e-09,0.7179656549895777,0.1880229030744283
