dataset,index,raw_label,y_true,probability,calibrated_probability,threshold,calibrated_threshold,pred_label,target_confidence,calibrated_target_confidence,mc_mean,mc_std,mc_p05,mc_p95,mc_mean_calibrated,mc_std_calibrated,mc_p05_calibrated,mc_p95_calibrated,outcome
kepler,0,no-PC,0,0.83651495,0.7707245,0.5000000000000001,0.5,1,0.83651495,0.7707245,0.8275331,0.022641875,0.78749907,0.8615331,0.76262355,0.021260796,0.7256832,0.79537594,FP
kepler,1,no-PC,0,5.809583e-07,2.3381997e-05,0.5000000000000001,0.5,0,0.9999994,0.99997663,5.584727e-07,2.3080696e-07,2.873808e-07,9.834919e-07,3.5246798e-05,1.5100206e-06,3.4997443e-05,3.4997443e-05,TN
kepler,2,no-PC,0,0.00038938256,0.0029286486,0.5000000000000001,0.5,0,0.9996106,0.9970713,0.0004385724,0.00016143345,0.00025340857,0.00079888577,0.0031608068,0.00083894806,0.0021302179,0.0049853115,TN
kepler,3,no-PC,0,2.6972362e-05,0.00040417354,0.5000000000000001,0.5,0,0.999973,0.9995958,2.8077191e-05,8.380326e-06,1.7589264e-05,4.429804e-05,0.00041300565,9.072827e-05,0.00029425384,0.0005841339,TN
kepler,4,PC,1,0.7064008,0.65746766,0.5000000000000001,0.5,1,0.7064008,0.65746766,0.69356287,0.06430728,0.5493868,0.7783448,0.64831984,0.050708406,0.5367315,0.71764576,TP
kepler,5,no-PC,0,0.029560786,0.0696005,0.5000000000000001,0.5,0,0.9704392,0.9303995,0.03021988,0.0036330845,0.02582998,0.03698987,0.07059281,0.005954977,0.06321652,0.08161266,TN
kepler,6,no-PC,0,5.9510517e-06,0.00013159953,0.5000000000000001,0.5,0,0.99999404,0.9998684,8.118123e-06,5.8164524e-06,3.042596e-06,1.685221e-05,0.00015995554,7.803445e-05,7.9965444e-05,0.00028502414,TN
kepler,7,no-PC,0,1.6582553e-07,9.215416e-06,0.5000000000000001,0.5,0,0.9999998,0.99999076,1.7375793e-07,8.188e-08,8.649682e-08,3.1106677e-07,3.499747e-05,2.5465852e-11,3.4997443e-05,3.4997443e-05,TN
kepler,8,no-PC,0,3.0546824e-05,0.0004432928,0.5000000000000001,0.5,0,0.9999695,0.9995567,3.0759013e-05,9.657103e-06,1.8993382e-05,4.744131e-05,0.00044166492,0.00010119831,0.0003115145,0.00061462587,TN
kepler,9,no-PC,0,1.9626686e-11,1.1174948e-08,0.5000000000000001,0.5,0,1.0,1.0,2.4985371e-11,1.945816e-11,7.2291322e-12,6.175901e-11,3.499747e-05,2.5465852e-11,3.4997443e-05,3.4997443e-05,TN
kepler,10,no-PC,0,0.00035848073,0.0027546328,0.5000000000000001,0.5,0,0.99964154,0.9972454,0.00037336905,0.000109536166,0.00024247178,0.0005557541,0.002817603,0.0005957777,0.00206168,0.0038113117,TN
kepler,11,no-PC,0,0.000116193354,0.0011947943,0.5000000000000001,0.5,0,0.99988383,0.9988052,0.00012210537,3.7471484e-05,7.893413e-05,0.00019527439,0.0012293664,0.00027351183,0.00089682156,0.001755964,TN
kepler,12,no-PC,0,5.1486256e-07,2.1376038e-05,0.5000000000000001,0.5,0,0.99999946,0.9999786,5.4869344e-07,2.4782412e-07,2.863e-07,1.0884722e-06,3.5355537e-05,1.8169476e-06,3.4997443e-05,3.7271555e-05,TN
kepler,13,no-PC,0,0.00012871946,0.0012890716,0.5000000000000001,0.5,0,0.99987125,0.99871093,0.00013647584,5.394094e-05,7.96335e-05,0.00024572515,0.001328272,0.00037875754,0.0009027052,0.0020821493,TN
kepler,14,no-PC,0,0.0014525612,0.007753974,0.5000000000000001,0.5,0,0.99854743,0.99224603,0.0014990304,0.0003618271,0.0010137991,0.0021110948,0.00789228,0.0013956797,0.0059454283,0.010215122,TN
kepler,15,PC,1,0.95252174,0.90265805,0.5000000000000001,0.5,1,0.95252174,0.90265805,0.95277274,0.004592987,0.9449193,0.9590055,0.90312296,0.006603891,0.891954,0.91223216,TP
