dataset,index,raw_label,y_true,threshold,outcome,maxlike_probability,maxlike_prediction,maxlike_confidence,maxlike_entropy,mc_dropout_mean_probability,mc_dropout_std_probability,mc_dropout_prediction,mc_dropout_predictive_entropy,aleatoric_uncertainty,epistemic_uncertainty,mc_samples
kepler,0,no-PC,0,0.5000000000000001,FP,0.836514949798584,1,0.836514949798584,0.44540396332740784,0.8275331258773804,0.022641874849796295,1,0.45977628231048584,0.4579941928386688,0.0017820894718170166,100
kepler,1,no-PC,0,0.5000000000000001,TN,5.809582717120065e-07,0,0.9999994039535522,8.922697816160508e-06,5.584727205132367e-07,2.30806961099006e-07,0,8.599396096542478e-06,8.556554348615464e-06,4.2841747927013785e-08,100
kepler,2,no-PC,0,0.5000000000000001,TN,0.00038938256329856813,0,0.9996106028556824,0.003446329152211547,0.0004385724023450166,0.00016143344691954553,0,0.0038295118138194084,0.0038024550303816795,2.7056783437728882e-05,100
kepler,3,no-PC,0,0.5000000000000001,TN,2.6972362320520915e-05,0,0.9999729990959167,0.000310740084387362,2.807719101838302e-05,8.380326107726432e-06,0,0.00032234127866104245,0.00032114022178575397,1.2010568752884865e-06,100
kepler,4,PC,1,0.5000000000000001,TP,0.7064008116722107,1,0.7064008116722107,0.6053429841995239,0.6935628652572632,0.06430727988481522,1,0.616220235824585,0.6067050099372864,0.009515225887298584,100
kepler,5,no-PC,0,0.5000000000000001,TN,0.029560785740613937,0,0.9704391956329346,0.13321208953857422,0.030219880864024162,0.003633084474131465,0,0.13550566136837006,0.13528753817081451,0.000218123197555542,100
kepler,6,no-PC,0,0.5000000000000001,TN,5.951051662123064e-06,0,0.9999940395355225,7.75537482695654e-05,8.118123332678806e-06,5.816452357976232e-06,0,0.00010327395284548402,0.00010173486225539818,1.5390905900858343e-06,100
kepler,7,no-PC,0,0.5000000000000001,TN,1.6582552575528098e-07,0,0.9999998211860657,2.754748265942908e-06,1.7375792538132373e-07,8.18800032220679e-08,0,2.8784047572116833e-06,2.8616618692467455e-06,1.6742887964937836e-08,100
kepler,8,no-PC,0,0.5000000000000001,TN,3.054682383663021e-05,0,0.999969482421875,0.00034811877412721515,3.075901258853264e-05,9.657102964411024e-06,0,0.0003503240004647523,0.0003489012597128749,1.422740751877427e-06,100
kepler,9,no-PC,0,0.5000000000000001,TN,1.962668569333026e-11,0,1.0,1.9420680530402024e-07,2.4985371410712887e-11,1.9458160777086064e-11,0,1.9420680530402024e-07,1.9420679109316552e-07,1.4210854715202004e-14,100
kepler,10,no-PC,0,0.5000000000000001,TN,0.0003584807273000479,0,0.9996415376663208,0.0032024718821048737,0.0003733690537046641,0.0001095361658371985,0,0.003320279996842146,0.003305537160485983,1.4742836356163025e-05,100
kepler,11,no-PC,0,0.5000000000000001,TN,0.00011619335418799892,0,0.9998838305473328,0.0011689279926940799,0.00012210536806378514,3.747148366528563e-05,0,0.001222343766130507,0.0012170228874310851,5.320878699421883e-06,100
kepler,12,no-PC,0,0.5000000000000001,TN,5.148625632500625e-07,0,0.999999463558197,7.969745638547465e-06,5.486934355758422e-07,2.4782411855994724e-07,0,8.458507181785535e-06,8.409490874328185e-06,4.9016307457350194e-08,100
kepler,13,no-PC,0,0.5000000000000001,TN,0.00012871946091763675,0,0.9998712539672852,0.0012817640090361238,0.00013647583546116948,5.3940941143082455e-05,0,0.0013510144781321287,0.0013413791311904788,9.635346941649914e-06,100
kepler,14,no-PC,0,0.5000000000000001,TN,0.0014525612350553274,0,0.9985474348068237,0.010943161323666573,0.0014990303898230195,0.0003618270857259631,0,0.01124600600451231,0.011203549802303314,4.245620220899582e-05,100
kepler,15,PC,1,0.5000000000000001,TP,0.9525217413902283,1,0.9525217413902283,0.1910220980644226,0.9527727365493774,0.004592986777424812,1,0.19026871025562286,0.19003702700138092,0.00023168325424194336,100
kepler,16,no-PC,0,0.5000000000000001,TN,1.2832832574360964e-08,0,1.0,2.4602155690445215e-07,1.3036966173274323e-08,7.75478437020638e-09,0,2.497293110081955e-07,2.709744535422942e-07,0.0,100
kepler,17,no-PC,0,0.5000000000000001,TN,0.001490293419919908,0,0.9985097050666809,0.011189177632331848,0.001560927601531148,0.0003829010238405317,0,0.011647163890302181,0.01160293910652399,4.422478377819061e-05,100
kepler,18,no-PC,0,0.5000000000000001,TN,0.00015280723164323717,0,0.9998471736907959,0.0014954108046367764,0.00015077291755005717,4.3602507503237575e-05,0,0.0014775233576074243,0.001471653231419623,5.870126187801361e-06,100
kepler,19,no-PC,0,0.5000000000000001,TN,2.135548404780252e-09,0,1.0,1.9420680530402024e-07,2.6262518826314363e-09,2.395387443954178e-09,0,1.9420680530402024e-07,1.9449620936029532e-07,0.0,100
kepler,20,no-PC,0,0.5000000000000001,TN,3.4095953838075843e-10,0,1.0,1.9420680530402024e-07,4.2875442085588134e-10,3.8848155248238925e-10,0,1.9420680530402024e-07,1.9420679109316552e-07,1.4210854715202004e-14,100
kepler,21,no-PC,0,0.5000000000000001,TN,2.809617853927193e-06,0,0.9999971985816956,3.872344677802175e-05,3.394992290850496e-06,2.169923618566827e-06,0,4.614883437170647e-05,4.563779657473788e-05,5.110377969685942e-07,100
kepler,22,no-PC,0,0.5000000000000001,TN,7.246120367199183e-05,0,0.9999275207519531,0.0007631920743733644,7.654042565263808e-05,2.4128918084898032e-05,0,0.0008019640226848423,0.0007983475225046277,3.6165001802146435e-06,100
kepler,23,PC,1,0.5000000000000001,TP,0.9430548548698425,1,0.9430548548698425,0.21847790479660034,0.9414997696876526,0.007183391600847244,1,0.22282075881958008,0.22236253321170807,0.0004582256078720093,100
kepler,24,no-PC,0,0.5000000000000001,TN,3.5250695873401128e-06,0,0.9999964833259583,4.778446236741729e-05,4.335078756412258e-06,3.5688424304680666e-06,0,5.786796464235522e-05,5.672376209986396e-05,1.1442025424912572e-06,100
kepler,25,no-PC,0,0.5000000000000001,FP,0.7821220755577087,1,0.7821220755577087,0.5242089629173279,0.7834497094154358,0.04057340323925018,1,0.5225069522857666,0.5175224542617798,0.004984498023986816,100
kepler,26,no-PC,0,0.5000000000000001,TN,0.001035975175909698,0,0.9989640116691589,0.008155087009072304,0.0010305986506864429,0.00023904553381726146,0,0.008118128404021263,0.008092693984508514,2.5434419512748718e-05,100
kepler,27,no-PC,0,0.5000000000000001,TN,0.0001496567711001262,0,0.999850332736969,0.0014676975551992655,0.00016014576249290258,5.929146209382452e-05,0,0.0015597150195389986,0.0015493188984692097,1.0396121069788933e-05,100
kepler,28,no-PC,0,0.5000000000000001,TN,9.238488928531297e-06,0,0.9999907612800598,0.00011633223039098084,9.264308573619928e-06,2.778346470222459e-06,0,0.00011663149780360982,0.00011624078615568578,3.907116479240358e-07,100
kepler,29,no-PC,0,0.5000000000000001,TN,6.121360485167315e-08,0,0.9999999403953552,1.0779040167108178e-06,7.359395937100999e-08,4.9196323459455016e-08,0,1.2823528550143237e-06,1.2688740298472112e-06,1.3478825167112518e-08,100
kepler,30,no-PC,0,0.5000000000000001,TN,0.00014949061733204871,0,0.9998505115509033,0.001466234214603901,0.00016087089898064733,5.8371919294586405e-05,0,0.001566050574183464,0.0015565716894343495,9.478884749114513e-06,100
kepler,31,PC,1,0.5000000000000001,TP,0.9890970587730408,1,0.9890970587730408,0.060110654681921005,0.9883289337158203,0.0029133232310414314,1,0.06354643404483795,0.063199982047081,0.000346451997756958,100
kepler,32,no-PC,0,0.5000000000000001,TN,1.2325246245836752e-07,0,0.9999998807907104,2.0840795968979364e-06,1.4156425720557309e-07,6.966777732486662e-08,0,2.3741051791148493e-06,2.35896459344076e-06,1.514058567408938e-08,100
kepler,33,no-PC,0,0.5000000000000001,TN,6.058890278382023e-08,0,0.9999999403953552,1.0675252042346983e-06,6.93373536364561e-08,5.556747595392153e-08,0,1.2123138048991677e-06,1.1941727962039295e-06,1.814100869523827e-08,100
